name;percent_change;values
Kaspa;24h;-1.64297695
Kaspa;7d;9.56594708
Kaspa;30d;-22.34372391
Kaspa;60d;-38.82240095
Kaspa;90d;-30.55664788
GateToken;1h;0.52783631
GateToken;24h;2.27208862
GateToken;7d;12.67335989
GateToken;30d;1.35762826
GateToken;60d;14.56002255
GateToken;90d;89.0909851
Filecoin;1h;-1.78509022
Filecoin;24h;1.94822688
Filecoin;7d;8.11559081
Filecoin;30d;-7.54225299
Filecoin;60d;-41.89557489
Filecoin;90d;-34.26890441
Celestia;1h;-1.28739513
Celestia;24h;-0.82325637
Celestia;7d;-9.40441776
Celestia;30d;7.40258848
Celestia;60d;-29.17846889
Celestia;90d;-28.37410841
POL (prev. MATIC);1h;-1.8111065
POL (prev. MATIC);24h;-0.06734037
POL (prev. MATIC);7d;-1.98060664
POL (prev. MATIC);30d;-29.96475981
POL (prev. MATIC);60d;-53.10819885
POL (prev. MATIC);90d;-50.49054828
Cosmos;1h;-2.41984799
Cosmos;24h;0.23651637
Cosmos;7d;18.72921942
Cosmos;30d;-0.31978735
Cosmos;60d;-25.56233663
Cosmos;90d;-23.88997643
Arbitrum;1h;-1.39910383
Arbitrum;24h;-0.68464308
Arbitrum;7d;6.05272316
Arbitrum;30d;-20.97389609
Arbitrum;60d;-48.52426988
Arbitrum;90d;-47.16749312
Render;1h;-1.72134893
Render;24h;-0.01707828
Render;7d;8.51755919
Render;30d;-20.97556858
Render;60d;-53.52302158
Render;90d;-48.94976487
Algorand;1h;-1.60477342
Algorand;24h;2.73968283
Algorand;7d;-0.88525359
Algorand;30d;-25.36151669
Algorand;60d;-54.93095324
Algorand;90d;-34.1388364
DeXe;1h;0.17499734
DeXe;24h;2.0050971
DeXe;7d;10.41254339
DeXe;30d;6.43050049
DeXe;60d;13.19868154
DeXe;90d;145.05334861
Sonic (prev. FTM);1h;-2.25056593
Sonic (prev. FTM);24h;2.76121544
Sonic (prev. FTM);7d;11.99063074
Sonic (prev. FTM);30d;-11.02635943
Sonic (prev. FTM);60d;-14.86421359
Sonic (prev. FTM);90d;-34.98466682
Optimism;1h;-1.48647364
Optimism;24h;-2.12283192
Optimism;7d;2.55331801
Optimism;30d;-20.05229561
Optimism;60d;-49.73624942
Optimism;90d;-47.90523761
Jupiter;1h;-1.79136807
Jupiter;24h;1.10656753
Jupiter;7d;3.37724958
Jupiter;30d;-28.04783955
Jupiter;60d;-54.33852023
Jupiter;90d;-32.43734013
Story;1h;-1.3084142
Story;24h;2.74046514
Story;7d;-9.17986891
Story;30d;170.71580634
Story;60d;90.60111293
Story;90d;90.60111293
KuCoin Token;1h;-0.24499235
KuCoin Token;24h;-0.12080872
KuCoin Token;7d;1.49636972
KuCoin Token;30d;-7.04159014
KuCoin Token;60d;5.04370382
KuCoin Token;90d;4.86751291
Artificial Superintelligence Alliance;1h;-1.81406875
Artificial Superintelligence Alliance;24h;0.51845145
Artificial Superintelligence Alliance;7d;5.25371874
Artificial Superintelligence Alliance;30d;-28.93769925
Artificial Superintelligence Alliance;60d;-56.85592477
Artificial Superintelligence Alliance;90d;-54.94711926
Ethena;1h;-2.73188141
Ethena;24h;1.92678037
Ethena;7d;4.43213691
Ethena;30d;-12.1388282
Ethena;60d;-54.73253079
Ethena;90d;-57.6612332
XDC Network;1h;-0.70225894
XDC Network;24h;5.43131013
XDC Network;7d;4.49539184
XDC Network;30d;-24.21262735
XDC Network;60d;-47.82398496
XDC Network;90d;4.25534977
Movement;1h;-1.41300968
Movement;24h;-0.91295301
Movement;7d;-4.65349651
Movement;30d;-15.32447637
Movement;60d;-40.16424433
Movement;90d;-38.33397989
Maker;1h;-1.89652008
Maker;24h;-2.5538599
Maker;7d;11.89344386
Maker;30d;11.79750451
Maker;60d;-3.42087343
Maker;90d;-18.58262343
Worldcoin;1h;-2.6292688
Worldcoin;24h;2.20343159
Worldcoin;7d;3.47228949
Worldcoin;30d;-24.24144941
Worldcoin;60d;-56.90695114
Worldcoin;90d;-56.58127529
Immutable;1h;-0.98022326
Immutable;24h;-1.54113852
Immutable;7d;6.07263692
Immutable;30d;-23.64635481
Immutable;60d;-53.37587335
Immutable;90d;-54.88195148
Injective;1h;-1.79142014
Injective;24h;0.09868785
Injective;7d;3.65005321
Injective;30d;-30.37442855
Injective;60d;-55.43082864
Injective;90d;-49.59255037
Stacks;1h;-1.55734091
Stacks;24h;1.86407722
Stacks;7d;0.99433566
Stacks;30d;-27.85477256
Stacks;60d;-56.83377696
Stacks;90d;-60.59772777
Sei;1h;-1.48509423
Sei;24h;-1.34832152
Sei;7d;4.1277802
Sei;30d;-11.46443534
Sei;60d;-46.00445172
Sei;90d;-49.51951071
Quant;1h;-0.82889142
Quant;24h;-1.23689542
Quant;7d;2.09018079
Quant;30d;-18.50670469
Quant;60d;-27.48878974
Quant;90d;-21.36229052
Theta Network;1h;-1.27414509
Theta Network;24h;2.00406152
Theta Network;7d;5.22566206
Theta Network;30d;-26.24742282
Theta Network;60d;-55.60484291
Theta Network;90d;-48.5076369
The Graph;1h;-2.05379365
The Graph;24h;0.02258526
The Graph;7d;4.41657898
The Graph;30d;-29.02684648
The Graph;60d;-53.49669977
The Graph;90d;-50.20724194
Flare;1h;-0.56429769
Flare;24h;-0.29032541
Flare;7d;-0.99261106
Flare;30d;-25.61960847
Flare;60d;-47.30672674
Flare;90d;-42.22117484
EOS;1h;-0.55647853
EOS;24h;0.50752495
EOS;7d;15.76266204
EOS;30d;-5.35402291
